set,name,sentence_number,token_number,per_count
set1,a1.txt,188,5473,1110
set1,a2.txt,130,3739,788
set1,a3.txt,140,4040,732
set1,a7.txt,416,15016,2219
set1,a6.txt,541,16220,2726
set1,a4.txt,175,5017,920
set1,a5.txt,220,6007,902
set1,a8.txt,581,20469,3785
set1,a9.txt,343,11064,2109
set2,a1.txt,116,2888,384
set2,a2.txt,98,2244,284
set2,a3.txt,153,4016,409
set2,a7.txt,87,2326,269
set2,a6.txt,201,4894,625
set2,a4.txt,229,4743,548
set2,a5.txt,102,2581,309
set2,a8.txt,108,2216,237
set2,a9.txt,111,2727,277
set3,a1.txt,531,15871,1317
set3,a2.txt,304,8811,849
set3,a3.txt,140,2594,320
set3,a7.txt,296,6900,486
set3,a6.txt,443,9227,677
set3,a4.txt,284,9141,1005
set3,a5.txt,269,6982,488
set3,a8.txt,319,7682,721
set3,a9.txt,246,6034,413
set4,a1.txt,124,3402,395
set4,a2.txt,261,7238,859
set4,a3.txt,232,6297,738
set4,a7.txt,184,4727,591
set4,a6.txt,628,17018,1667
set4,a4.txt,114,2984,355
set4,a5.txt,324,9542,1184
set4,a8.txt,438,11798,1189
set4,a9.txt,88,2199,261
